,text
0,No I'm in the same boat. Still here at my moms. Check me out on yo. I'm half naked.
1,(Bank of Granite issues Strong-Buy) EXPLOSIVE PICK FOR OUR MEMBERS *****UP OVER 300% *********** Nasdaq Symbol CDGT That is a $5.00 per..
2,They r giving a second chance to rahul dengra.
3,O i played smash bros  &lt;#&gt;  religiously.
4,PRIVATE! Your 2003 Account Statement for 07973788240 shows 800 un-redeemed S. I. M. points. Call 08715203649 Identifier Code: 40533 Expires 31/10/04
5,"G says you never answer your texts, confirm/deny"
6,88066 FROM 88066 LOST 3POUND HELP
7,"Okey dokey, iÛ÷ll be over in a bit just sorting some stuff out."
8,Why i come in between you people
9,Wah lucky man... Then can save money... Hee...
10,Much better now thanks lol
11,"Madam,regret disturbance.might receive a reference check from DLF Premarica.kindly be informed.Rgds,Rakhesh,Kerala."
12,I'm coming home 4 dinner.
13,Ok...
14,Can Ì_ all decide faster cos my sis going home liao..
15,Hi mate its RV did u hav a nice hol just a message 3 say hello coz havenåÕt sent u 1 in ages started driving so stay off roads!RVx
16,Amazing : If you rearrange these letters it gives the same meaning... Dormitory = Dirty room Astronomer = Moon starer The eyes = They see Election results = Lies lets recount Mother-in-law = Woman Hitler Eleven plus two =Twelve plus one Its Amazing... !:-)
17,Good Morning plz call me sir
18,K actually can you guys meet me at the sunoco on howard? It should be right on the way
19,"New Theory: Argument wins d SITUATION, but loses the PERSON. So dont argue with ur friends just.. . . . kick them &amp; say, I'm always correct.!"
20,Oh yeah! And my diet just flew out the window
21,"Watching cartoon, listening music &amp; at eve had to go temple &amp; church.. What about u?"
22,If india win or level series means this is record:)
23,Armand says get your ass over to epsilon
24,TELL HER I SAID EAT SHIT.
25,"Oh, then your phone phoned me but it disconnected"
26,Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed å£1000 cash or å£5000 prize!
27,"Hey sweet, I was wondering when you had a moment if you might come to me ? I want to send a file to someone but it won't go over yahoo for them because their connection sucks, remember when you set up that page for me to go to and download the format disc ? Could you tell me how to do that ? Or do you know some other way to download big files ? Because they can download stuff directly from the internet. Any help would be great, my prey ... *teasing kiss*"
28,Purity of friendship between two is not about smiling after reading the forwarded message..Its about smiling just by seeing the name. Gud evng
29,Not heard from U4 a while. Call me now am here all night with just my knickers on. Make me beg for it like U did last time 01223585236 XX Luv Nikiyu4.net
30,You will be in the place of that man
31,Welp apparently he retired
32,haha but no money leh... Later got to go for tuition... Haha and looking for empty slots for driving lessons
33,Aiyar hard 2 type. U later free then tell me then i call n scold n tell u.
34,K I'll call you when I'm close
35,Wat so late still early mah. Or we juz go 4 dinner lor. Aiya i dunno...
36,Yup it's at paragon... I havent decided whether 2 cut yet... Hee...
37,Watching tv now. I got new job :)
38,PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires
39,Great! I have to run now so ttyl!
40,"Hello, my love! How goes that day ? I wish your well and fine babe and hope that you find some job prospects. I miss you, boytoy ... *a teasing kiss*"
41,ZOE IT JUST HIT ME 2 IM FUCKING SHITIN MYSELF IL DEFO TRY MY HARDEST 2 CUM 2MOROW LUV U MILLIONS LEKDOG
42,if you text on your way to cup stop that should work. And that should be BUS
43,Congratulations ore mo owo re wa. Enjoy it and i wish you many happy moments to and fro wherever you go
44,"Good morning, im suffering from fever and dysentry ..will not be able to come to office today."
45,Tell me pa. How is pain de.
46,Got it. Seventeen pounds for seven hundred ml ÛÒ hope ok.
47,I know complain num only..bettr directly go to bsnl offc nd apply for it..
48,"Kate jackson rec center before 7ish, right?"
49,K..k.:)congratulation ..
50,Whatsup there. Dont u want to sleep
51,FROM 88066 LOST å£12 HELP
52,"Japanese Proverb: If one Can do it, U too Can do it, If none Can do it,U must do it Indian version: If one Can do it, LET HIM DO it.. If none Can do it,LEAVE it!! And finally Kerala version: If one can do it, Stop him doing it.. If none can do it, Make a strike against it ..."
53,The search 4 happiness is 1 of d main sources of unhappiness! Accept life the way it comes! U will find happiness in every moment u live.
54,Ok...
55,"Faith makes things possible,Hope makes things work,Love makes things beautiful,May you have all three this Christmas!Merry Christmas!"
56,Ok... C ya...
57,I'm in class. Will holla later
58,Buy Space Invaders 4 a chance 2 win orig Arcade Game console. Press 0 for Games Arcade (std WAP charge) See o2.co.uk/games 4 Terms + settings. No purchase
59,"The house is on the water with a dock, a boat rolled up with a newscaster who dabbles in jazz flute behind the wheel"
60,Oh baby of the house. How come you dont have any new pictures on facebook
61,Thx. All will be well in a few months
62,Gud mrng dear have a nice day
63,Yar i wanted 2 scold u yest but late already... I where got zhong se qing you? If u ask me b4 he ask me then i'll go out w u all lor. N u still can act so real.
64,"Say this slowly.? GOD,I LOVE YOU &amp; I NEED YOU,CLEAN MY HEART WITH YOUR BLOOD.Send this to Ten special people &amp; u c miracle tomorrow, do it,pls,pls do it..."
65,Yes princess! I want to catch you with my big strong hands...
66,"Wait, do you know if wesleys in town? I bet she does hella drugs!"
67,No problem with the renewal. I.ll do it right away but i dont know his details.
68,"What part of \don't initiate\"" don't you understand"""
69,"MOON has come to color your dreams, STARS to make them musical and my SMS to give you warm and Peaceful Sleep. Good Night"
70,Where are you ? What do you do ? How can you stand to be away from me ? Doesn't your heart ache without me ? Don't you wonder of me ? Don't you crave me ?
71,"URGENT, IMPORTANT INFORMATION FOR O2 USER. TODAY IS YOUR LUCKY DAY! 2 FIND OUT WHY LOG ONTO HTTP://WWW.URAWINNER.COM THERE IS A FANTASTIC SURPRISE AWAITING FOR YOU"
72,The 2 oz guy is being kinda flaky but one friend is interested in picking up $ &lt;#&gt;  worth tonight if possible
73,I am waiting machan. Call me once you free.
74,"Honeybee Said: *I'm d Sweetest in d World* God Laughed &amp; Said: *Wait,U Havnt Met d Person Reading This Msg* MORAL: Even GOD Can Crack Jokes! GM+GN+GE+GN:)"
75,I AM AT THE GAS STATION. GO THERE.
76,Yes ammae....life takes lot of turns you can only sit and try to hold the steering...
77,Hmm. Shall i bring a bottle of wine to keep us amused? Just joking! I'll still bring a bottle. Red or white? See you tomorrow
78,"Sorry I missed you babe. I was up late and slept in. I hope you enjoy your driving lesson, boytoy. I miss you too ... *teasing kiss*"
79,Ok... Thanx... Gd nite 2 Ì_ too...
80,No 1 POLYPHONIC tone 4 ur mob every week! Just txt PT2 to 87575. 1st Tone FREE ! so get txtin now and tell ur friends. 150p/tone. 16 reply HL 4info
81,"Nothing really, just making sure everybody's up to speed"
82,I wish that I was with you. Holding you tightly. Making you see how important you are. How much you mean to me ... How much I need you ... In my life ...
83,Lol I would but my mom would have a fit and tell the whole family how crazy and terrible I am
84,"Its good, we'll find a way"
85,"IåÕm cool ta luv but v.tired 2 cause i have been doin loads of planning all wk, we have got our social services inspection at the nursery! Take care & spk sn x."
86,"Sorry light turned green, I meant another friend wanted  &lt;#&gt;  worth but he may not be around"
87,Que pases un buen tiempo or something like that
88,Watching telugu movie..wat abt u?
89,Mm you ask him to come its enough :-)
90,WINNER!! As a valued network customer you have been selected to receivea å£900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.
91,Yar lor... Keep raining non stop... Or u wan 2 go elsewhere?
92,Otherwise had part time job na-tuition..
93,Good words.... But words may leave u in dismay many times.
94,Oooh bed ridden ey? What are YOU thinking of?
95,4 oclock at mine. Just to bash out a flat plan.
96,GSOH? Good with SPAM the ladies?U could b a male gigolo? 2 join the uk's fastest growing mens club reply ONCALL. mjzgroup. 08714342399.2stop reply STOP. msg@å£1.50rcvd
97,"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;"
98,Im good! I have been thinking about you...
99,One day a crab was running on the sea shore..The waves came n cleared the footprints of the crab.. Crab asked: being my frnd y r u clearing my beautiful footprints? Waves replied: A fox was following ur footprints to catch you! thats y i cleared it off:) frndsship never lets u dwn :-) GUD nyt..
100,Dunno he jus say go lido. Same time 930.
101,"Free Msg: get Gnarls Barkleys \Crazy\"" ringtone TOTALLY FREE just reply GO to this message right now!"""
102,Have you always been saying welp?
103,Get the official ENGLAND poly ringtone or colour flag on yer mobile for tonights game! Text TONE or FLAG to 84199. Optout txt ENG STOP Box39822 W111WX å£1.50
104,Gud mrng dear hav a nice day
105,I also thk too fast... Xy suggest one not me. U dun wan it's ok. Going 2 rain leh where got gd.
106,"FRAN I DECIDED 2 GO N E WAY IM COMPLETELY BROKE AN KNACKERED I GOT UP BOUT 3 C U 2MRW LOVE JANX P.S THIS IS MY DADS FONE, -NO CREDIT"
107,This message is free. Welcome to the new & improved Sex & Dogging club! To unsubscribe from this service reply STOP. msgs@150p 18 only
108,FREE for 1st week! No1 Nokia tone 4 ur mobile every week just txt NOKIA to 8077 Get txting and tell ur mates. www.getzed.co.uk POBox 36504 W45WQ 16+ norm150p/tone
109,Cool. Do you like swimming? I have a pool and jacuzzi at my house.
110,Of course. I guess god's just got me on hold right now.
111,Oh just getting even with u.... u?
112,Whos this am in class:-)
113,Loosu go to hospital. De dont let it careless.
114,"K, my roommate also wants a dubsack and another friend may also want some so plan on bringing extra, I'll tell you when they know for sure"
115,"Oh... Haha... Den we shld had went today too... Gee, nvm la... Kaiez, i dun mind goin jazz oso... Scared hiphop open cant catch up... "
116,I'm very happy for you babe ! Woo hoo party on dude!
117,Allo! We have braved the buses and taken on the trains and triumphed. I mean weÛ÷re in bÛ÷ham. Have a jolly good rest of week
118,Tell them no need to investigate about me anywhere.
119,"Urgent! Please call 0906346330. Your ABTA complimentary 4* Spanish Holiday or å£10,000 cash await collection SAE T&Cs BOX 47 PO19 2EZ 150ppm 18+"
120,You call him now ok i said call him
121,"URGENT! Your Mobile No. was awarded å£2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM"
122,Miss call miss call khelate kintu opponenter miss call dhorte lage. Thats d rule. One with great phone receiving quality wins.
123,Wife.how she knew the time of murder exactly
124,U having lunch alone? I now so bored...
125,True lov n care wil nevr go unrecognized. though somone often makes mistakes when valuing it. but they will definitly undrstnd once when they start missing it.
126,i thought we were doing a king of the hill thing there.
127,I thk Ì_ gotta go home by urself. Cos i'll b going out shopping 4 my frens present. 
128,Studying. But i.ll be free next weekend.
129,I love ya too but try and budget your money better babe. Gary would freak on me if he knew
130,Ok...
131,Genius what's up. How your brother. Pls send his number to my skype.
132,Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p
133,"Wishing you and your family Merry \X\"" mas and HAPPY NEW Year in advance.."""
134,Is fujitsu s series lifebook good?
135,Friendship poem: Dear O Dear U R Not Near But I Can Hear Dont Get Fear Live With Cheer No More Tear U R Always my Dear. Gud ni8
136,"Haha yeah, 2 oz is kind of a shitload"
137,How to Make a girl Happy? It's not at all difficult to make girls happy. U only need to be... 1. A friend 2. Companion 3. Lover 4. Chef . . .  &lt;#&gt; . Good listener  &lt;#&gt; . Organizer  &lt;#&gt; . Good boyfriend  &lt;#&gt; . Very clean  &lt;#&gt; . Sympathetic  &lt;#&gt; . Athletic  &lt;#&gt; . Warm . . .  &lt;#&gt; . Courageous  &lt;#&gt; . Determined  &lt;#&gt; . True  &lt;#&gt; . Dependable  &lt;#&gt; . Intelligent . . .  &lt;#&gt; . Psychologist  &lt;#&gt; . Pest exterminator  &lt;#&gt; . Psychiatrist  &lt;#&gt; . Healer . .  &lt;#&gt; . Stylist  &lt;#&gt; . Driver . . Aaniye pudunga venaam..
138,Arun can u transfr me d amt
139,Prabha..i'm soryda..realy..frm heart i'm sory
140,Its a part of checking IQ
141,Nothing spl..wat abt u and whr ru?
